Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Sentences;Words;Audience_age;Audience_level;Audience_size;Full context;Example source
« онтевцсеб ларги еляор моньлетитарвто ан мотяп;ынрюткоН;пятом на отвратительном рояле играл бесцветно «;Ноктюрны;» ;Дж. ;В. А. Швец. Дневник (1947);В. А. Швец;1916;Дневник;1947;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | здоровье и медицина;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;1513;10856;н-возраст;н-уровень;личная;В пятом на отвратительном рояле играл бесцветно «Ноктюрны» Дж. ;21382:48:7
« огонмен ьтасипаз оге ливатсаз авде я;нрюткоН;я едва заставил его записать немного «;Ноктюрн;». ;;В. А. Швец. Дневник (1945);В. А. Швец;1916;Дневник;1945;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | армия и вооруженные конфликты;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;1844;14455;н-возраст;н-уровень;личная;Вчера я едва заставил его записать немного «Ноктюрн». ;21380:998:7
« личнокО;нрюткоН;Окончил «;Ноктюрн;» ;для сюиты. ;В. А. Швец. Дневник (1944);В. А. Швец;1916;Дневник;1944;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | армия и вооруженные конфликты;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;3264;24155;н-возраст;н-уровень;личная;Окончил «Ноктюрн» для сюиты. ;21379:3083:1
« оген у личнок и ачивонитсуИ яирифроП;нрюткоН;Порфирия Иустиновича и кончил у него «;Ноктюрн;». ;;В. А. Швец. Дневник (1944);В. А. Швец;1916;Дневник;1944;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | армия и вооруженные конфликты;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;3264;24155;н-возраст;н-уровень;личная;Сегодня я был у Порфирия Иустиновича и кончил у него «Ноктюрн». ;21379:3131:10
« ларги я ыботч ,еж есв течоХ;нрюткоН;Хочет все же, чтобы я играл «;Ноктюрн;» ;Шопена, Глиэровские прелюдии. ;В. А. Швец. Дневник (1943);В. А. Швец;1916;Дневник;1943;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | армия и вооруженные конфликты;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;5286;39377;н-возраст;н-уровень;личная;Хочет все же, чтобы я играл «Ноктюрн» Шопена, Глиэровские прелюдии. ;21378:1363:6
« йынтремсоп ажроЖ ялд юавысипереп и амод;нрюткоН;дома и переписываю для Жоржа посмертный «;Ноктюрн;» ;Шопена. ;В. А. Швец. Дневник (1940);В. А. Швец;1916;Дневник;1940;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | образование;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт, 2004--2013гг.;2004-2013;книга;омонимия не снята;876;7043;н-возраст;н-уровень;личная;Сейчас я сижу дома и переписываю для Жоржа посмертный «Ноктюрн» Шопена. ;21375:105:9
 ниробО ларгыс итсоньлатнемитнес ателан зеб еН;нрюткон;Не без налета сентиментальности сыграл Оборин ;ноктюрн; ;Шопена. ;Сакс Ганс. Лев Оборин (26.01.1939) // «Советское искусство». № 13 (593), 1939;Сакс Ганс;;Лев Оборин;26.01.1939;публицистика | нехудожественная;рецензия;искусство и культура;«Советское искусство». № 13 (593);1939;газета;омонимия не снята;13;176;н-возраст;н-уровень;большая;Не без налета сентиментальности сыграл Оборин ноктюрн Шопена. ;82722:10:6
 алавецнат ещиличу монтелаб в ялкаткепс огонксупыв;нрюткон;выпускного спектакля в балетном училище танцевала ;ноктюрн; ;Шопена, как она в следующем году;К. К. Вагинов. Бамбочада (1931);К. К. Вагинов;1899;Бамбочада;1931;художественная;роман;;Вагинов К. К. Полное собрание сочинений в прозе;1999;книга;омонимия не снята;2446;28914;н-возраст;н-уровень;большая;"Посреди лежала папка с рецензиями и некрологами, посвященными его дочери; в некрологах вспоминалось о том, как Варенька, будучи ученицей средних классов, во время выпускного спектакля в балетном училище танцевала ноктюрн Шопена, как она в следующем году исполняла с Даниловой и Наташидзе pas de trois из «Пахиты», что в сезоне 19... когда началась ее работа в труппе, успех Вареньки возрастал с каждым выступлением; следовало перечисление ролей и балетов, вспоминалось о том, что «Польку» Рахманинова из простенького танца Варенька превращала в богатейший мимический монолог; мелькали Виллиса в «Жизели», одалиска в «Корсаре», рыбачка в «Дочери фараона». ";128695:328:29
 ьтарги ьсалидас ано ,олыб ен огокин;ынрюткон;никого не было, она садилась играть ;ноктюрны; ;"Шопена и сонаты Бетховена; я, затаив";Андрей Белый. На рубеже двух столетий (1929);Андрей Белый;1880;На рубеже двух столетий;1929;художественная;мемуары;;Андрей Белый. На рубеже двух столетий;1989;книга;омонимия не снята;4187;129949;н-возраст;высокий;большая;"И, когда ушла Раиса Ивановна и унесла с собой сказки, уносившие меня на лебединых крыльях из тусклых будней, сама музыка лебедем спустилась над детской кроваткой моей; и я залетал на звуках; говорю: «музыка опустилась над детской кроваткою», потому что музыку воспринимал я, главным образом, вечерами; когда мать оставалась дома и у нас никого не было, она садилась играть ноктюрны Шопена и сонаты Бетховена; я, затаив дыхание, внимал из кроватки: и то, что я переживал, противопоставлялось всему, в чем я жил; пропадала драма нашей квартиры и мое тяжелое положение в ней; не существовало: ни профессоров, ни их «рациональных» объяснений, мне якобы вредных; не было и никакого «второго математика»; эволюция, Дарвин, цепкохвостая обезьяна имели смысл, власть, основание в том мире, где не было звуков: в мире дневном, в мире, обстающем кроватку; но после девяти часов вечера в кроватке под звуки музыки выступал иной мир. ";72829:1748:58
« и ыб алгитсоп ьтсачу еж-ат;ънрюткоН;та-же участь постигла бы и «;Ноктюрнъ;» ;и «Болеро», въ которыхъ испанскую танцовщицу;Валеріанъ Свѣтловъ. Испанскій танцовщикъ Эскудеро // «Театръ и жизнь», 1928;Валеріанъ Свѣтловъ;;Испанскій танцовщикъ Эскудеро;1928;публицистика | нехудожественная;заметка;искусство и культура;«Театръ и жизнь»;1928;журнал;омонимия не снята;53;847;н-возраст;высокий;средняя;И думаю та-же участь постигла бы и «Ноктюрнъ» и «Болеро», въ которыхъ испанскую танцовщицу изображала въ Парижской Оперѣ Ида Рубинштейнъ съ отсутствіемъ ритма, хореографической свѣто-тѣни и темперамента, если бы эти балеты попали въ Испанію. ;124746:22:8
 йы-41 тнемом тотэ в теянлопси оник;нрюткон;кино исполняет в этот момент 14-ый ;ноктюрн; ;Шопена… ;Н. Ф. Новиков. Дневник (1928);Н. Ф. Новиков;1903;Дневник;1928;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | политика и общественная жизнь;;;электронное издание;омонимия не снята;1025;10336;н-возраст;н-уровень;личная;Скрипач оркестра кино исполняет в этот момент 14-ый ноктюрн Шопена… ;74549:930:8
 аларгыс анвортеП яьфоС ебьсорп йеом оП;нрюткон;По моей просьбе Софья Петровна сыграла ;ноктюрн; ;Шопена, ноктюрн Мендельсона из “Lommernachtraum” и;Н. Ф. Новиков. Дневник (1925);Н. Ф. Новиков;1903;Дневник;1925;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | политика и общественная жизнь;;;электронное издание;омонимия не снята;1184;11557;н-возраст;н-уровень;личная;По моей просьбе Софья Петровна сыграла ноктюрн Шопена, ноктюрн Мендельсона из “Lommernachtraum” и оттуда же свадебный марш -- вещи довольно знакомые мне, потому что я сам когда-то пытался исполнять их и слышал в чужом исполнении. ;74546:1014:6
 арелссеК йокчод с ларги и ,теадап;нрюткон;падает, и играл с дочкой Кесслера ;ноктюрн;. ;;А. Н. Бенуа. Дневник (1923) // Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.), 2010|2001;А. Н. Бенуа;1870;Дневник;1923;бытовая;дневник, записные книжки;искусство и культура | частная жизнь;Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.);2010|2001;книга | журнал;омонимия не снята;5622;87683;н-возраст;н-уровень;личная;Профессор Зейберт -- душа общества, показывал фокусы со стоящей палкой, которая не падает, и играл с дочкой Кесслера ноктюрн. ;74083:4829:17
 йишдешод ируб од тсинаип лавробо модрокка;нрюткон;аккордом оборвал пианист до бури дошедший ;ноктюрн; ;и снова заплакал и полился нежной;П. Н. Краснов. От Двуглавого Орла к красному знамени (книга 1) (1922);П. Н. Краснов;1869;От Двуглавого Орла к красному знамени (книга 1);1922;художественная;роман;;Краснов П. Н. От Двуглавого Орла к красному знамени: В 2 книгах. ― Кн. 1;2005;книга;омонимия не снята;24113;234866;н-возраст;н-уровень;большая;Сильным аккордом оборвал пианист до бури дошедший ноктюрн и снова заплакал и полился нежной мелодией и заговорил о тоске и молитве. ;76540:12203:7
 ьтямап ан ьтарги латс веажелоП;нрюткон;Полежаев стал играть на память ;ноктюрн;. ;;П. Н. Краснов. От Двуглавого Орла к красному знамени (книга 2) (1922);П. Н. Краснов;1869;От Двуглавого Орла к красному знамени (книга 2);1922;художественная;роман;;Краснов П. Н. От Двуглавого Орла к красному знамени: В 2 книгах. ― Кн. 2;2005;книга;омонимия не снята;20563;204317;н-возраст;н-уровень;большая;Полежаев стал играть на память ноктюрн. ;76541:17744:5
 теарги но морадеН;ынрюткон;Недаром он играет ;ноктюрны; ;на водосточной трубе. ;К. И. Чуковский. Ахматова и Маяковский (1921);К. И. Чуковский;1882;Ахматова и Маяковский;1921;публицистика | нехудожественная;статья;искусство и культура;А. А. Ахматова: Pro et contra;2001;книга;омонимия не снята;673;8255;н-возраст;н-уровень;средняя;Недаром он играет ноктюрны на водосточной трубе. ;73775:427:3
" ьтаргыс« охолп ьнечо ,онченок ,и ;»вомлох";нрюткон;"холмов»; и, конечно, очень плохо «сыграть ";ноктюрн; ;на флейтах водосточных труб». ;В. Г. Шершеневич. 2×2=5 (1920);В. Г. Шершеневич;1893;2×2=5;1920;публицистика | нехудожественная | учебно-научная;эссе | статья;искусство и культура | филология;Вадим Шершеневич. Листы имажиниста;1996;книга;омонимия не снята;648;8593;н-возраст;н-уровень;большая;"Хорошо сказать: «цепь холмов расковалась», потому что это усиливает метафору «цепь холмов»; и, конечно, очень плохо «сыграть ноктюрн на флейтах водосточных труб». ";128010:239:17
 аларги яаР адгоК;нрюткон;Когда Рая играла ;ноктюрн;, ;я думала... думала об Александре. ;М. Н. Вишневская. Дневник (1917);М. Н. Вишневская;1901;Дневник;1917;бытовая;дневник, записные книжки;частная жизнь;Вишневская М. Н. Дневник харьковской гимназистки 1917-1918 / Сост. А. Ф. Парамонов. Харьков: Харьковский частный музей городской усадьбы, 2007. 159 с;2007;книга;омонимия не снята;2696;22884;н-возраст;н-уровень;личная;Когда Рая играла ноктюрн, я думала... думала об Александре. ;74895:2473:3
 тинабараб репат йыннелмотУ;ынрюткон;Утомленный тапер барабанит ;ноктюрны; ;и вальсы, старое разбитое пианино дребезжит;А. А. Селиванов. Женщина с озера // «Пробуждение» № 24, 1916;А. А. Селиванов;1876;Женщина с озера;1916;художественная;рассказ;;«Пробуждение» № 24, 1916;1916;журнал;омонимия не снята;235;2309;н-возраст;н-уровень;большая;Утомленный тапер барабанит ноктюрны и вальсы, старое разбитое пианино дребезжит и гудит… ;127759:202:3
 тотэ ьтапялан ыботч ,илибертопу ыв инемерв;нрюткон;времени вы употребили, чтобы наляпать этот ;ноктюрн;? -- ;вопрошает прокурор. ;К. И. Чуковский. Литературные черепки // «Волны», 1912;К. И. Чуковский;1882;Литературные черепки;1912;публицистика | нехудожественная;статья;искусство и культура;«Волны»;1912;журнал;омонимия не снята;134;1433;н-возраст;н-уровень;средняя;Сколько времени вы употребили, чтобы наляпать этот ноктюрн? -- вопрошает прокурор. ;73659:70:7
 аларги амам моречев аречВ;ынрюткон;Вчера вечером мама играла ;ноктюрны; ;Шопена и на меня эта музыка;А. А. Аллендорф. Дневник (1907);А. А. Аллендорф;1886;Дневник;1907;бытовая;дневник, записные книжки;частная жизнь | образование;;;электронный текст;омонимия не снята;203;2007;н-возраст;н-уровень;личная;Вчера вечером мама играла ноктюрны Шопена и на меня эта музыка произвела сильное впечатление. ;73946:51:4
 еиксвонепош хануртс хитэ ан ьтарги мотоп;ынрюткон;потом играть на этих струнах шопеновские ;ноктюрны;. ;;И. Ф. Анненский. Драма на дне (1906);И. Ф. Анненский;1855;Драма на дне;1906;публицистика | нехудожественная;статья;искусство и культура | философия | политика и общественная жизнь;«Книга отражений», серия «Литературные памятники»;1979;книга;омонимия не снята;301;4539;н-возраст;н-уровень;большая;Он не моралист, как Короленко, и не будет он бездушными перстами, как кто-нибудь из его собратьев, подвинчивать в наших сердцах струны и канифолить смычок, чтобы потом играть на этих струнах шопеновские ноктюрны. ;77709:130:31
 еиксвонепош хануртс хитэ ан ьтарги мотоп;ынрюткон;потом играть на этих струнах шопеновские ;ноктюрны;. ;;И. Ф. Анненский. Книга отражений (1906);И. Ф. Анненский;1856;Книга отражений;1906;публицистика | нехудожественная;очерк | цикл;искусство и культура;«Серия «Литературные памятники». Иннокентий Ф. Анненский;1979;книга;омонимия не снята;2951;45460;н-возраст;н-уровень;очень большая;Он не моралист, как Короленко, и не будет он бездушными перстами, как кто-нибудь из его собратьев, подвинчивать в наших сердцах струны и канифолить смычок, чтобы потом играть на этих струнах шопеновские ноктюрны. ;72513:1643:31
 еиксвонепош алавадереп одраиВ анилоП ,йокинхет юондохсоверп;ынрюткон;превосходною техникой, Полина Виардо передавала шопеновские ;ноктюрны;, ;вальсы, мазурки, прелюды с выдающеюся экспрессией;Е. И. Апрелева. Из воспоминаний об И. С. Тургеневе (1904);Е. И. Апрелева;1846;Из воспоминаний об И. С. Тургеневе;1904;публицистика | нехудожественная;мемуары;искусство и культура | частная жизнь;И. С. Тургенев в воспоминаниях современников: В 2 т. Т. 2;1983;книга;омонимия не снята;441;7897;н-возраст;н-уровень;большая;Как современница Шопена, лично его знавшая, слышавшая его игру, обладая притом превосходною техникой, Полина Виардо передавала шопеновские ноктюрны, вальсы, мазурки, прелюды с выдающеюся экспрессией и законченностью... ;72555:194:17
 ларги мовтсвуч мыннебосо с и залг;нрюткон;глаз и с особенным чувством играл ;ноктюрн; ;Шопена и добивался-таки того, что;К. М. Станюкович. О чем мечтал мичман (1898);К. М. Станюкович;1843;О чем мечтал мичман;1898;художественная;рассказ;;Станюкович К.M. Собр. соч. В 10 т;1977;книга;омонимия не снята;171;2939;н-возраст;н-уровень;большая;Возмущал он его главным образом потому, что в качестве товарища и бывшего друга знал, что Лютиков влюблен в Нину Васильевну, и вместо того, чтобы не мешать ему, как следовало бы порядочному человеку, и ухаживать за женой какого-нибудь другого чрезмерно тучного или чрезмерно худого капитана первого ранга, он стал ухаживать за Ниной Васильевной, торчал по целым часам, не спускал с нее глаз и с особенным чувством играл ноктюрн Шопена и добивался-таки того, что Лютиков демонстративно уходил мрачный, чувствуя себя бесконечно несчастным и готовым убить Ракушкина, если бы... ;128292:101:66
 тотэ теаргиаз ,илов виторп отсач ,и;нрюткон;и, часто против воли, заиграет этот ;ноктюрн;. ;;П. Д. Боборыкин. Василий Теркин (1892);П. Д. Боборыкин;1836;Василий Теркин;1892;художественная;роман;;П. Д. Боборыкин. Сочинения в трех томах. Т.3;1993;книга;омонимия не снята;15139;143320;н-возраст;н-уровень;очень большая;Бывало, когда муж разобидит ее своим барством и бездушием и уедет в клуб спускать ее прида́нные деньги, она сядет к роялю и, часто против воли, заиграет этот ноктюрн. ;62956:5476:27
 йынченоксеб йовс ьтавыргызар илачан ежу онвад;нрюткон;давно уже начали разыгрывать свой бесконечный ;ноктюрн;, ;сливая его с ровным стрекотом полевых;А. В. Жиркевич. Розги (1892);А. В. Жиркевич;1857;Розги;1892;художественная;рассказ;;Писатели чеховской поры: Избранные произведения писателей 80-90-х годов: В 2-х т. М.: Художественная литература, 1982;1982;книга;омонимия не снята;597;8992;н-возраст;н-уровень;большая;В соседнем болоте лягушки и жабы давно уже начали разыгрывать свой бесконечный ноктюрн, сливая его с ровным стрекотом полевых кузнечиков. ;129203:248:12
 теарги онтохо и укызум тибюл анО;ынрюткон;Она любит музыку и охотно играет ;ноктюрны; ;Шопена, но исполняет их с таким;А. Н. Апухтин. Дневник Павлика Дольского (1891);А. Н. Апухтин;1840;Дневник Павлика Дольского;1891;художественная;повесть | дневник, записные книжки;;А. Н. Апухтин. Сочинения. Стихотворения и проза;1985;книга;омонимия не снята;1306;17131;н-возраст;н-уровень;большая;Она любит музыку и охотно играет ноктюрны Шопена, но исполняет их с таким чувством и так замедляет темп, что их узнать нельзя, а иногда от рассеянности настукивает всякую дребедень. ;62832:105:6
 аларги есв ано ,речев ьсев икшутет;ынрюткон;тетушки весь вечер, она все играла ;ноктюрны;, ;потом подали ужин, потом не знаю;А. Н. Апухтин. Дневник Павлика Дольского (1891);А. Н. Апухтин;1840;Дневник Павлика Дольского;1891;художественная;повесть | дневник, записные книжки;;А. Н. Апухтин. Сочинения. Стихотворения и проза;1985;книга;омонимия не снята;1306;17131;н-возраст;н-уровень;большая;Я просидел у тетушки весь вечер, она все играла ноктюрны, потом подали ужин, потом не знаю, почему... ну, одним словом, я, может быть, лишний раз поцеловал у нее ручку... ;62832:126:9
 еыньлачеп еымас ефра aн усироБ аларги;ынрюткон;играла Борису нa арфе самые печальные ;ноктюрны;. ;;Л. Н. Толстой. Война и мир. Том второй (1867-1869);Л. Н. Толстой;1828;Война и мир. Том второй;1867-1869;художественная;роман;;;;книга;омонимия не снята;7852;116992;н-возраст;н-уровень;очень большая;Жюли играла Борису нa арфе самые печальные ноктюрны. ;68908:6360:7
 ларгызар мозарбо мыньлетатсилб ,ценокаН;нрюткон;Наконец, блистательным образом разыграл ;ноктюрн; ;собственного сочинения, причем некоторые артисты-боги;В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Части 1-3 (1864);В. В. Крестовский;1840;Петербургские трущобы. Книга о сытых и голодных. Части 1-3;1864;художественная;роман;;Крестовский В. В. Петербургские трущобы. Книга о сытых и голодных;1990;книга;омонимия не снята;7370;116911;н-возраст;н-уровень;большая;"Наконец, блистательным образом разыграл ноктюрн собственного сочинения, причем некоторые артисты-боги остались приятно изумлены, а дамы даже совсем забыли своего идола из восточных человеков; после ноктюрна шутя набросал в альбоме премилый эскиз в какие-нибудь четверть часа; за эскизом прошел в комнату, где на зеленом поле шла значительная игра, шутя поставил значительную карту и проиграл; проигравши, скромно вынул из бумажника пачку ассигнаций, отсчитал, что было нужно, доложил еще часть золотом и равнодушно удалился от стола, словно бы подходил туда не более как выпить стакан лимонада. ";65154:2899:4
 алачан яьфоС;нрюткон;Софья начала ;ноктюрн;. ;;И. С. Тургенев. Яков Пасынков (1855);И. С. Тургенев;1818;Яков Пасынков;1855;художественная;рассказ;;И. С. Тургенев. Полное собрание сочинений и писем в 30 т. 2-е изд.;1979;книга;омонимия не снята;1061;11260;н-возраст;н-уровень;большая;Софья начала ноктюрн. ;68968:128:2
 аларгиод ,енм ок ьсалунребо ен ано;нрюткон;она не обернулась ко мне, доиграла ;ноктюрн; ;до конца, встала и закрыла крышку;И. С. Тургенев. Яков Пасынков (1855);И. С. Тургенев;1818;Яков Пасынков;1855;художественная;рассказ;;И. С. Тургенев. Полное собрание сочинений и писем в 30 т. 2-е изд.;1979;книга;омонимия не снята;1061;11260;н-возраст;н-уровень;большая;Щеки Софьи побледнели, но она не обернулась ко мне, доиграла ноктюрн до конца, встала и закрыла крышку рояля. ;68968:149:10
 юен с лавыргызар но ,иираМ етанмок;нрюткон;комнате Марии, он разыгрывал с нею ;ноктюрн; ;в 4 руки, а старуха Леонова;Р. М. Зотов. Два брата, или Москва в 1812 году. Часть I (1850);Р. М. Зотов;1795;Два брата, или Москва в 1812 году. Часть I;1850;художественная;роман;;;;книга;омонимия не снята;3061;35904;н-возраст;н-уровень;большая;Когда он воротился домой, то Саша сидел еще в комнате Марии, он разыгрывал с нею ноктюрн в 4 руки, а старуха Леонова читала в это время «Московские ведомости». ;70046:2872:15
